Mineral_Commodity,Pch_Critical_Minerals_2020_2024,Pch_Other_Minerals_2020_2024
Thallium,,-100
Asbestos,,-76
Bauxite,,-46
Bismuth,-37,
Diamond (stones),,-29
Strontium,,-25
Iodine,,-23
Silver,,-22
Titanium mineral concentrates,,-22
Mica,,-22
Alumina,,-21
Rhenium,,-21
Garnet (industrial),,-19
Yttrium,-17,
Titanium dioxide,,-16
Pumice and pumicite,,-15
Beryllium,-13,
Nickel,-12,
Sulfur,,-11
Fluorspar,-11,
Molybdenum,,-8
Phosphate rock,,-8
Tin,-8,
Perlite,,-8
Magnesium metal,-7,
Zinc,-7,
Nepheline Syenite,,-6
Salt,,-6
Peat,,-5
Nitrogen (fixed)--ammonia,,-4
Sand and gravel (construction),,-4
Lead,,-3
Zeolites (natural),,-3
Stone (crushed),,-1
Cobalt,0,
Lime,,1
Palladium,1,
Abrasives (aluminum oxide),0,1
Chromium,2,
Rare earths,2,
Tantalum,2,
Soda ash,,2
Clays,,3
Cement,,5
Stone (dimension),,5
Helium,,6
Gypsum,,6
Iron and steel slag,,7
Gold,,7
Antimony,7,
Diatomite,,8
Copper,,8
Aluminum,9,
Manganese,10,
Arsenic,11,
Iron and steel,,12
Potash,,12
Iron and steel scrap,,13
Abrasives (silicon carbide),,14
Magnesium compounds,,15
Talc and pyrophyllite ,,15
Iron oxide pigments,,15
Gemstones,,20
Gallium,21,
Abrasives (metallic),,22
Iron Ore,,22
"Diamond (bort, grit, dust, and powder)",,25
Feldspar,,29
Niobium (columbium),33,
Kyanite,,48
Platinum,50,
Sand and gravel (industrial),,66
Graphite (natural),73,
Vanadium,97,
Indium,117,
