Source,Scrap_type,Year,Scrap_value_mdol,Percent_domestic,Percent_imported,Percent_exported
MCS2025,Antimony* (73),2024_estimate,73,99.38,0.48,0.14
MCS2025,"Lead (2,530)",2024_estimate,2530,94.79,0.36,4.86
MCS2025,Tin* (345),2024_estimate,345,91.16,5.17,3.67
MCS2025,Zinc* (490),2024_estimate,490,85.71,4.49,9.8
MCS2025,"Nickel* (2,120)",2024_estimate,2120,73.58,18.87,7.55
MCS2025,"Iron & Steel (37,300)",2024_estimate,37300,70.27,6.94,22.8
MCS2025,Magnesium Metal* (265),2024_estimate,265,68,31.36,0.64
MCS2025,"Gold (11,600)",2024_estimate,11600,59.74,3.9,36.36
MCS2025,"Platinum-group metals* (3,640)",2024_estimate,3640,57.42,26.37,16.21
MCS2025,Cobalt* (59),2024_estimate,59,50.85,30.51,18.64
MCS2025,"Aluminum* (10,000)",2024_estimate,10000,46,13,41
MCS2025,"Chromium* (1,110)",2024_estimate,1110,36.19,24.73,39.08
MCS2025,"Silver (4,580)",2024_estimate,4580,23.32,11.43,65.25
MCS2025,"Copper (7,430)",2024_estimate,7430,19.11,11.17,69.72
MCS2025,Titanium* (304),2024_estimate,304,2.8,78.57,18.64
